customer_id,age,gender,region,signup_date,subscription_type,contract_length,payment_method,monthly_charges,support_tickets_count,NPS_score,last_active_date,churn_label,churn_date,tenure_months,total_charges,tenure_bucket
00bec2d3-012c-4962-a4ed-13f88cf4df06,20,Male,West,2022-11-03,Basic,Month-to-month,Credit card,77.75,1,6,2025-05-09,1,2025-08-07,33,2565.75,25-36m
396a9462-4fc4-4253-9e69-ad732e7f5411,59,Male,East,2022-10-15,Premium,Month-to-month,PayPal,45.9,2,1,2025-06-27,0,,34,1560.6,25-36m
bade6042-c0de-4ac2-9104-96a710674468,61,Male,South,2023-03-01,Standard,One year,Credit card,56.03,2,2,2025-06-11,0,,30,1680.9,25-36m
97b4c10b-dfa4-4bd5-b71c-8a82c1f6f165,37,Male,South,2024-07-19,Basic,Month-to-month,Credit card,101.13,2,7,2023-10-23,1,2024-01-21,13,1314.69,13-24m
a793d97a-776b-4bbd-9967-eac41a90c289,60,Female,North,2024-08-18,Standard,Month-to-month,Credit card,67.24,1,4,2025-07-20,0,,12,806.8799999999999,7-12m
de9ec691-a2a3-403b-a27c-57907e7fb279,19,Female,West,2023-04-24,Basic,One year,Bank transfer,49.1,3,7,2025-06-27,0,,28,1374.8,25-36m
81a25608-62bf-4f03-af88-8076605e4f14,37,Male,East,2025-04-05,Standard,Month-to-month,PayPal,107.84,2,3,2025-06-29,0,,4,431.36,0-6m
0556f283-b55c-4d34-8f59-5e9f6f7c43da,21,Female,North,2022-12-10,Standard,Month-to-month,PayPal,82.57,0,3,2025-08-26,0,,32,2642.24,25-36m
b5883970-1330-4c19-8e65-58fc5d34f958,19,Female,North,2024-05-12,Premium,Month-to-month,Credit card,68.09,1,7,2024-08-09,1,2024-11-07,15,1021.35,13-24m
c8a7e9bc-902a-47c7-ba39-743d7316f3b1,44,Male,East,2023-12-03,Basic,One year,PayPal,86.6,1,3,2025-07-10,0,,20,1732.0,13-24m
706a5258-2de0-4e27-9855-31edf767489c,21,Male,West,2022-11-11,Premium,One year,Credit card,103.36,1,1,2024-12-09,1,2025-03-09,33,3410.88,25-36m
a2e59ef1-e5d2-46b4-8bb5-d963cd94a3e4,19,Female,South,2024-12-01,Premium,Month-to-month,PayPal,38.36,1,1,2025-07-06,0,,9,345.24,7-12m
9d329162-08e3-4e03-bc34-6975a2634ea4,40,Male,North,2023-03-28,Standard,Month-to-month,Bank transfer,71.26,1,10,2025-03-31,1,2025-06-29,29,2066.54,25-36m
9dfd07ac-09ec-47e4-8c17-a96ac7389689,40,Male,East,2024-05-31,Standard,Two year,PayPal,51.33,0,8,2025-06-19,0,,15,769.9499999999999,13-24m
d5a45086-11d2-4527-b1c0-7abd10178f50,24,Female,South,2023-03-20,Premium,One year,PayPal,95.54,2,7,2024-02-17,1,2024-05-17,29,2770.6600000000003,25-36m
6bf52561-e10b-43a1-85e4-9c1b3cf20e48,43,Female,West,2023-08-14,Basic,Two year,Credit card,68.5,1,7,2025-08-20,0,,24,1644.0,13-24m
81b47262-0a71-40df-a381-ee9e448cb873,38,Male,South,2023-11-24,Basic,One year,Bank transfer,82.91,0,3,2025-06-22,0,,21,1741.11,13-24m
f07d08dd-8f39-4987-8fd0-df02f8653be8,56,Male,West,2025-04-18,Basic,Two year,Credit card,65.63,2,10,2023-10-13,1,2024-01-11,4,262.52,0-6m
d000898b-89b4-4ad7-800a-2350b40251a4,39,Male,North,2022-10-06,Basic,Month-to-month,Bank transfer,67.85,2,3,2025-07-15,0,,34,2306.8999999999996,25-36m
7f1d98ec-9c01-4227-bac3-6de5fd5c0c65,65,Male,South,2023-12-03,Basic,Month-to-month,PayPal,80.47,1,7,2024-01-18,1,2024-04-17,20,1609.4,13-24m
73d32859-b3af-4402-bfaf-211c440a2dae,19,Male,North,2024-10-13,Basic,One year,Credit card,102.6,3,3,2024-03-25,1,2024-06-23,10,1026.0,7-12m
37b2c1c0-e927-43b1-a6df-2f061bcef1d8,28,Male,South,2023-10-15,Basic,Month-to-month,Bank transfer,105.26,0,3,2025-07-03,0,,22,2315.7200000000003,13-24m
b5f24eb7-7c84-40e8-8fd9-61aa63129ce8,46,Male,East,2023-01-04,Basic,Month-to-month,PayPal,93.83,2,7,2025-07-22,0,,31,2908.73,25-36m
1c52d58d-f092-4495-accc-3c0576890d0d,40,Female,North,2024-04-19,Standard,Month-to-month,PayPal,24.03,0,9,2024-06-29,1,2024-09-27,16,384.48,13-24m
a18fad58-7b9f-41cb-acef-baf19caac910,45,Male,North,2025-02-14,Basic,Month-to-month,Credit card,93.92,0,6,2025-07-01,0,,6,563.52,0-6m
64e90d70-c0c8-4dc6-8315-4b0c7b0a4cb9,36,Male,West,2023-10-27,Basic,Two year,PayPal,47.48,2,10,2025-06-28,0,,22,1044.56,13-24m
70ced499-7f15-45a5-b412-ed7bf0a9a7a5,53,Female,South,2024-10-15,Premium,Month-to-month,PayPal,78.08,3,8,2025-06-26,0,,10,780.8,7-12m
4b341fc9-26f5-40ca-91c4-8bfaea13656d,32,Female,South,2023-10-15,Standard,Month-to-month,PayPal,82.78,1,4,2025-07-18,0,,22,1821.16,13-24m
3aea5554-ca77-4a3d-be54-7131ca6de107,18,Female,South,2023-08-07,Standard,Month-to-month,PayPal,21.63,0,7,2025-06-14,0,,24,519.12,13-24m
